Hospital_ID,ICU_Beds_Available,Ventilators_Available,Staff_On_Duty,Oxygen_Cylinders_Available,Source_Type,Target
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
H3,15,7,30,50,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H1,12,5,25,40,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H2,8,3,18,30,Hospital,1
H3,15,7,30,50,Hospital,1
H1,12,5,25,40,Hospital,1
